Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
139th Street,Midlothian Creek,2025,0.05,0.05,0.06,-9762565.693509998,5107888.2094410425,1.51,0.97,2.05,,,,,,,0.05,&lt RL,0.1,,,,1,1,1,1342.0,854.0,1830.0,,,,12,11,13,7,6,7
Albany Avenue,North Branch Chicago River,2025,0.2,0.11,0.27,-9764088.462110575,5156857.124687181,6.33,2.74,9.35,90.0,60.0,2100.0,15.0,4,26.0,0.05,&lt RL,0.13,499.0,444,632.0,5,1,13,1126.0,988.0,1308.0,61.0,59,64.0,7,4,9,6,5,6
Archer Avenue,Bubbly Creek,2025,0.62,0.62,0.62,-9758696.948071493,5136817.240627698,5.04,5.04,5.04,9.0,9.0,9.0,46.0,46,46.0,0.46,0.46,0.46,329.0,329,329.0,2,2,2,808.0,808.0,808.0,53.0,53,53.0,16,16,16,5,5,5
Arlington Dr.,West Branch DuPage River,2025,1.65,1.1,2.24,-9811547.219382191,5157233.888994125,11.22,7.52,14.89,3800.0,990.0,12000.0,7.0,4,16.0,0.23,0.08,0.44,336.0,220,502.0,2,1,2,889.0,650.0,1330.0,65.0,55,72.0,20,9,34,7,6,8
Ashland Avenue,Little Calumet River,2025,0.56,0.27,0.86,-9758345.734333793,5108959.791525536,3.58,2.14,5.01,530.0,360.0,700.0,7.0,6,8.0,0.63,0.15,1.11,327.0,215,438.0,2,1,2,1170.0,788.0,1552.0,279.0,151,407.0,15,9,21,7,6,7
Belmont Avenue,Des Plaines River,2025,0.17,0.11,0.21,-9779371.53102385,5151588.097147647,4.57,3.04,7.07,840.0,460.0,14000.0,11.0,5,16.0,0.13,0.01,0.26,322.0,211,398.0,1,1,1,751.0,626.0,992.0,61.0,50,70.0,18,5,33,6,6,7
Brookfield Avenue,Salt Creek,2025,0.9,0.46,1.32,-9778479.118246686,5134478.740255858,5.82,2.45,8.94,910.0,210.0,4400.0,10.0,7,14.0,0.07,&lt RL,0.21,339.0,218,533.0,1,1,1,880.0,640.0,1232.0,66.0,51,74.0,16,2,44,6,6,7
Burnham Avenue,Grand Calumet River,2025,0.14,0.04,0.32,-9744810.951107476,5105915.20396417,4.12,2.03,6.12,10.0,9.0,1400.0,2.0,1,3.0,1.21,0.24,3.05,171.0,155,192.0,3,1,5,797.0,760.0,860.0,159.0,144,173.0,3,2,6,8,6,9
Chatham Road,Midlothian Creek,2025,0.06,0.05,0.08,-9759961.818484122,5107888.209656332,1.44,0.98,1.89,,,,,,,0.05,0.03,0.08,,,,1,1,1,1322.0,854.0,1790.0,,,,11,8,13,7,6,7
Cicero Avenue,Chicago Sanitary and Ship Canal,2025,1.08,0.67,1.48,-9767527.508297496,5134013.305608013,7.06,5.44,8.35,10.0,10.0,10.0,11.0,8,16.0,1.06,0.96,1.13,261.0,239,321.0,2,2,2,725.0,640.0,824.0,52.0,48,58.0,4,3,6,6,5,6
Cicero Avenue,Calumet-Sag Channel,2025,0.33,0.26,0.41,-9766975.298081215,5109491.834437173,7.53,4.68,9.23,99.0,40.0,400.0,16.0,6,27.0,0.23,0.2,0.28,217.0,200,281.0,1,1,1,769.0,730.0,818.0,117.0,98,149.0,9,4,17,6,6,7
Dempster St.,North Shore Channel,2025,0.11,0.11,0.11,-9763803.49250606,5167131.2098396,0.67,0.67,0.67,10.0,10.0,10.0,46.0,46,46.0,-0.08,&lt RL,-0.08,313.0,313,313.0,1,1,1,686.0,686.0,686.0,50.0,50,50.0,7,7,7,3,3,3
Devon Avenue,Salt Creek,2025,1.42,0.82,2.14,-9795587.075606022,5159923.790866642,8.12,4.23,12.68,2000.0,1300.0,2200.0,12.0,8,19.0,0.12,&lt RL,0.35,295.0,189,392.0,1,1,2,753.0,522.0,994.0,59.0,47,67.0,11,5,24,7,6,8
Diversey Parkway,North Branch Chicago River,2025,1.15,0.65,1.49,-9760793.273420712,5150867.342273781,6.88,5.11,8.2,2200.0,50.0,3200.0,6.0,2,11.0,1.56,1.23,1.93,299.0,196,522.0,3,2,3,821.0,584.0,1104.0,53.0,49,58.0,5,3,6,6,5,7
Elmhurst Road,Higgins Creek,2025,0.04,0.02,0.06,-9789503.463971144,5164194.269628853,0.86,0.77,1.05,2000.0,10.0,2500.0,10.0,9,12.0,0.35,0.17,0.43,546.0,363,1135.0,1,1,2,1342.0,840.0,2126.0,61.0,48,69.0,10,7,16,5,4,6
Halsted Street,Little Calumet River,2025,0.31,0.31,0.31,-9756147.689317685,5109826.122291395,6.53,6.53,6.53,370.0,370.0,370.0,8.0,8,8.0,0.19,0.19,0.19,224.0,224,224.0,1,1,1,714.0,714.0,714.0,83.0,83,83.0,5,5,5,7,7,7
Harlem Avenue,Chicago Sanitary and Ship Canal,2025,0.28,0.28,0.28,-9774026.337077957,5131234.839862472,6.56,6.56,6.56,1300.0,1300.0,1300.0,6.0,6,6.0,0.14,0.14,0.14,272.0,272,272.0,1,1,1,752.0,752.0,752.0,68.0,68,68.0,3,3,3,5,5,5
Higgins Road,Salt Creek,2025,0.04,0.04,0.04,-9797375.60963822,5165675.359292448,0.61,0.47,0.75,99.0,99.0,99.0,15.0,14,16.0,0.04,&lt RL,0.09,743.0,743,743.0,1,1,1,1336.0,1040.0,1632.0,76.0,76,76.0,19,11,26,7,7,7
Indiana Avenue,Little Calumet River,2025,0.08,0.06,0.1,-9753472.18145782,5108772.571885121,2.79,2.1,3.48,10.0,9.0,10.0,58.0,51,64.0,0.03,&lt RL,0.07,220.0,214,226.0,1,0,1,646.0,626.0,666.0,77.0,72,82.0,11,8,14,6,5,6
Lincoln Street,Weller Creek,2025,0.11,0.03,0.23,-9791310.180190712,5169842.130070917,1.17,1,1.33,5200.0,3100.0,7100.0,11.0,3,22.0,0.19,0,0.34,590.0,554,815.0,1,1,1,1546.0,1272.0,2052.0,172.0,118,210.0,68,4,166,5,4,6
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2025,0.58,0.35,1.05,-9804834.0167114,5096870.642820761,6.55,4.68,8.47,99.0,10.0,21000.0,9.0,1,33.0,0.51,0.18,1.62,267.0,141,484.0,2,1,3,776.0,518.0,1124.0,89.0,67,115.0,8,2,21,6,5,8
Loomis Street,South Branch Chicago River,2025,1.34,1,1.59,-9758326.630046986,5137947.951214144,7.62,6.79,8.41,170.0,30.0,300.0,7.0,2,15.0,1.17,0.81,1.42,256.0,197,267.0,2,2,3,682.0,590.0,728.0,51.0,47,56.0,5,3,9,6,5,6
Material Service Road,Des Plaines River,2025,0.34,0.28,0.42,-9803757.593335949,5100729.017568359,3.83,2.38,5.41,400.0,20.0,11000.0,19.0,11,28.0,0.1,&lt RL,0.36,335.0,228,547.0,1,1,2,862.0,688.0,1314.0,65.0,47,75.0,26,9,47,6,5,7
Ogden Avenue,Des Plaines River,2025,0.41,0.28,0.58,-9775033.160497827,5134155.08934849,5.36,3.25,7.59,540.0,120.0,7200.0,12.0,5,17.0,0.12,0.02,0.23,320.0,216,447.0,1,1,1,782.0,648.0,1080.0,63.0,50,70.0,19,7,33,6,6,7
Route 83,Calumet-Sag Channel,2025,0.31,0.31,0.31,-9789029.93158179,5115601.921870255,4.0,4,4.0,110.0,110.0,110.0,4.0,4,4.0,0.23,0.23,0.23,213.0,213,213.0,1,1,1,664.0,664.0,664.0,82.0,82,82.0,16,16,16,7,7,7
Stephen Street,Chicago Sanitary and Ship Canal,2025,1.85,1.85,1.85,-9796052.154215598,5113077.68374999,5.3,5.3,5.3,2300.0,2300.0,2300.0,4.0,4,4.0,1.32,1.32,1.32,260.0,260,260.0,2,2,2,818.0,818.0,818.0,99.0,99,99.0,8,8,8,5,5,5
Touhy Avenue,North Shore Channel,2025,1.56,1.19,1.89,-9763880.193364626,5162772.158302309,6.55,5.21,7.64,3600.0,170.0,5300.0,1.0,1,1.0,2.73,2.06,3.3,205.0,147,345.0,4,3,5,629.0,460.0,822.0,50.0,47,57.0,5,5,5,7,7,7
Wells Street,Chicago River,2025,1.11,0.72,1.42,-9755339.676982597,5144145.544547021,5.91,4.83,7.82,230.0,40.0,480.0,6.0,3,9.0,1.41,0.76,2.11,257.0,211,319.0,2,1,3,685.0,616.0,740.0,47.0,44,51.0,4,1,8,5,5,5
Wille Road,Higgins Creek,2025,0.23,0.19,0.29,-9789066.534741784,5163778.873133089,6.29,3.68,8.58,1200.0,910.0,53000.0,2.0,1,2.0,0.44,0.14,0.74,305.0,158,411.0,2,2,2,762.0,564.0,1018.0,70.0,60,78.0,2,1,3,6,5,7
