Common Name,Station Number,Station Description,Sample Years,Total Fish Count,Yearly Average,Waterway,x,y
golden shiner,        78,Higgins Creek at Wille Road,2001,1,1,Higgins Creek,-9789066.534741784,5163778.873133089
bluegill,       106,West Fork North Branch Chicago River at Dundee Road,2001,1,1,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
gizzard shad,       106,West Fork North Branch Chicago River at Dundee Road,2001,3,3,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
blackstripe topminnow,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,2001,1,1,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
gizzard shad,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,2001,2,2,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
green sunfish x pumpkinseed,       104,North Branch Chicago River at Glenview Road,2001,1,1,North Branch Chicago River,-9770990.71844705,5171319.185344051
largemouth bass,       104,North Branch Chicago River at Glenview Road,2001,2,2,North Branch Chicago River,-9770990.71844705,5171319.185344051
gizzard shad,       103,West Fork North Branch Chicago River at Golf Road,2001,3,3,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
white sucker,       103,West Fork North Branch Chicago River at Golf Road,2001,3,3,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
spotfin shiner,       103,West Fork North Branch Chicago River at Golf Road,2001,1,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
brook stickleback,        96,North Branch Chicago River at Albany Avenue,2001,1,1,North Branch Chicago River,-9764088.462110577,5156857.124687181
bluegill,        34,North Branch Chicago River at Dempster Street,2001,3,3,North Branch Chicago River,-9772519.197048591,5167261.607014383
grass carp,        55,Calumet River at 130th Street,2001,1,1,Calumet River,-9748530.69045206,5110104.230203494
orangespotted sunfish,        35,North Shore Channel at Central Street,2001,1,1,North Shore Channel,-9761286.946422856,5170628.6171330195
black crappie,        35,North Shore Channel at Central Street,2001,2,2,North Shore Channel,-9761286.946422856,5170628.6171330195
green sunfish x pumpkinseed,        35,North Shore Channel at Central Street,2001,1,1,North Shore Channel,-9761286.946422856,5170628.6171330195
green sunfish x bluegill,       101,North Shore Channel at Foster Avenue,2001,1,1,North Shore Channel,-9763248.504184216,5157380.484896455
carp x goldfish,       101,North Shore Channel at Foster Avenue,2001,1,1,North Shore Channel,-9763248.504184216,5157380.484896455
