Station Name,Station Description,Parameter Description,Units,Year,Result Count,Result Min,Result Max,Result Median,Waterway,x,y
Albany Avenue,North Branch Chicago River at Albany Avenue,Chloride,mg/L,2025,3,444,632,499,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,Bubbly Creek at Archer Avenue,Chloride,mg/L,2025,1,329,329,329,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,West Branch DuPage River at Arlington Drive,Chloride,mg/L,2025,3,220,502,336,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,Little Calumet River at Ashland Avenue,Chloride,mg/L,2025,2,215,438,327,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,Des Plaines River at Belmont Avenue,Chloride,mg/L,2025,3,211,398,322,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,Salt Creek at Brookfield Avenue,Chloride,mg/L,2025,3,218,533,339,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,Grand Calumet River at Burnham Avenue,Chloride,mg/L,2025,3,155,192,171,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,Chloride,mg/L,2025,3,200,281,217,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,Chloride,mg/L,2025,3,239,321,261,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Dempster St.,North Shore Channel at Dempster Street,Chloride,mg/L,2025,1,313,313,313,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,Salt Creek at Devon Avenue,Chloride,mg/L,2025,3,189,392,295,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,North Branch Chicago River at Diversey Parkway,Chloride,mg/L,2025,3,196,522,299,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,Higgins Creek at Elmhurst Road,Chloride,mg/L,2025,3,363,1135,546,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,Little Calumet River at Halsted Street,Chloride,mg/L,2025,1,224,224,224,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Chloride,mg/L,2025,1,272,272,272,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Chloride,mg/L,2025,1,743,743,743,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Chloride,mg/L,2025,2,214,226,220,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Chloride,mg/L,2025,3,554,815,590,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Chloride,mg/L,2025,14,141,484,267,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Chloride,mg/L,2025,3,197,267,256,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Chloride,mg/L,2025,3,228,547,335,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Chloride,mg/L,2025,3,216,447,320,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Chloride,mg/L,2025,1,213,213,213,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Chloride,mg/L,2025,1,260,260,260,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Chloride,mg/L,2025,3,147,345,205,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,Chicago River at Wells Street,Chloride,mg/L,2025,3,211,319,257,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,Higgins Creek at Wille Road,Chloride,mg/L,2025,3,158,411,305,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,Des Plaines River at Willow Springs Road,Chloride,mg/L,2025,3,225,482,342,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,North Branch Chicago River at Wilson Avenue,Chloride,mg/L,2025,3,194,349,297,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,North Branch Chicago River at Albany Avenue,Chloride,mg/L,2024,12,50,434,164,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,Bubbly Creek at Archer Avenue,Chloride,mg/L,2024,12,64,432,115,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,West Branch DuPage River at Arlington Drive,Chloride,mg/L,2024,12,90,354,125,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,Little Calumet River at Ashland Avenue,Chloride,mg/L,2024,12,64,246,150,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,Des Plaines River at Belmont Avenue,Chloride,mg/L,2024,12,93,289,163,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,Salt Creek at Brookfield Avenue,Chloride,mg/L,2024,12,131,489,171,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,Grand Calumet River at Burnham Avenue,Chloride,mg/L,2024,12,97,237,143,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,Chloride,mg/L,2024,12,46,389,109,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,Chloride,mg/L,2024,12,88,228,160,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,North Shore Channel at Dempster Street,Chloride,mg/L,2024,12,15,350,25,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,Salt Creek at Devon Avenue,Chloride,mg/L,2024,12,110,359,149,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,North Branch Chicago River at Diversey Parkway,Chloride,mg/L,2024,12,63,255,106,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,Higgins Creek at Elmhurst Road,Chloride,mg/L,2024,12,68,833,242,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,Little Calumet River at Halsted Street,Chloride,mg/L,2024,18,91,301,129,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Chloride,mg/L,2024,12,58,398,129,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Chloride,mg/L,2024,12,117,465,197,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Chloride,mg/L,2024,12,65,287,144,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Chloride,mg/L,2024,12,81,688,330,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Chloride,mg/L,2024,53,86,464,127,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Chloride,mg/L,2024,12,50,370,108,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Chloride,mg/L,2024,12,99,287,164,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Chloride,mg/L,2024,12,105,397,165,Des Plaines River,-9775033.160497827,5134155.08934849
