Station Number,Station Name,Station Description,Parameter Name,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2002,12,3,1,8,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2005,12,3,1,11,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2012,11,4,1,23,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2015,11,2,1,8,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2018,12,2,0,6,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2025,3,6,3,9,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2004,12,3,1,16,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2007,11,2,0,6,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2010,12,2,0,4,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2017,12,2,&lt RL,3,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2020,11,2,1,4,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2023,11,2,1,3,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2001,2,2,1,3,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2008,12,2,1,5,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2011,12,2,1,8,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2014,10,3,1,12,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2021,10,2,1,6,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2024,11,2,1,5,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2003,11,4,1,12,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,3,1,12,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2009,11,2,1,4,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2013,12,3,1,9,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2016,11,2,&lt RL,8,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2019,10,2,1,3,Chicago River,-9755339.676982595,5144145.544547021
100,Wells Street,Chicago River at Wells Street,Chlorophyll-A,Chlorophyll-A,ug/L,2022,12,2,1,5,Chicago River,-9755339.676982595,5144145.544547021
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2001,5,1,0,3,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2004,11,2,1,5,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2007,12,1,0,2,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2010,12,2,1,4,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2002,12,2,0,7,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2009,12,2,0,9,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2012,7,2,0,5,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2005,12,2,0,13,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2008,12,1,&lt RL,3,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2011,12,5,0,25,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2003,12,4,&lt RL,31,North Shore Channel,-9763248.504184216,5157380.484896455
101,Foster Avenue,North Shore Channel at Foster Avenue,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,2,0,8,North Shore Channel,-9763248.504184216,5157380.484896455
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2001,5,4,1,10,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,23,0,190,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2009,11,11,1,72,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2012,7,19,1,91,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2002,11,17,1,65,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2005,12,8,1,40,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2008,11,13,1,51,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2011,12,5,1,12,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2004,12,12,1,60,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2007,12,16,1,102,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2003,10,5,&lt RL,22,North Shore Channel,-9763838.713194087,5164984.791142569
102,Oakton Street,North Shore Channel at Oakton Street,Chlorophyll-A,Chlorophyll-A,ug/L,2010,11,17,1,96,North Shore Channel,-9763838.713194087,5164984.791142569
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2001,5,16,11,27,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2008,10,9,4,18,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2011,11,15,4,34,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2002,11,14,5,25,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2005,10,29,5,123,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2012,7,12,1,51,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2003,8,19,3,54,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,13,4,32,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2009,11,8,2,22,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2004,10,21,2,96,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2007,11,12,4,22,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
103,Golf Road,West Fork North Branch Chicago River at Golf Road,Chlorophyll-A,Chlorophyll-A,ug/L,2010,10,14,2,47,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2003,3,33,18,47,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,20,4,45,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2005,12,10,1,30,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2008,12,11,3,27,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2011,12,8,1,18,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2002,9,18,5,35,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2009,12,6,1,13,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2012,7,11,1,35,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2001,5,24,10,39,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2004,12,12,1,28,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2007,11,12,1,39,North Branch Chicago River,-9770990.71844705,5171319.185344051
104,Glenview Road,North Branch Chicago River at Glenview Road,Chlorophyll-A,Chlorophyll-A,ug/L,2010,9,7,1,14,North Branch Chicago River,-9770990.71844705,5171319.185344051
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2002,12,22,4,47,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2005,12,16,2,33,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2008,12,18,5,38,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2011,12,11,2,31,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2003,12,22,5,59,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2010,12,10,1,21,Skokie River,-9769467.187323028,5174142.560835846
105,Frontage Road,Skokie River at Frontage Road,Chlorophyll-A,Chlorophyll-A,ug/L,2006,12,33,5,91,Skokie River,-9769467.187323028,5174142.560835846
