Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
139th Street,129,Midlothian Creek at 139th Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,2,0.05,&lt RL,0.1,Midlothian Creek,-9762565.693509998,5107888.2094410425
Albany Avenue,96,North Branch Chicago River at Albany Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,0.05,&lt RL,0.13,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,0.46,0.46,0.46,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.23,0.08,0.44,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,2,0.63,0.15,1.11,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.13,0.01,0.26,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.07,&lt RL,0.21,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,1.21,0.24,3.05,Grand Calumet River,-9744810.951107476,5105915.20396417
Chatham Road,130,Midlothian Creek at Chatham Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,2,0.05,0.03,0.08,Midlothian Creek,-9759961.818484122,5107888.209656332
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,1.06,0.96,1.13,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,0.23,0.2,0.28,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,-0.08,&lt RL,-0.08,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.12,&lt RL,0.35,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,1.56,1.23,1.93,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.35,0.17,0.43,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,0.19,0.19,0.19,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,0.14,0.14,0.14,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,2,0.04,&lt RL,0.09,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,2,0.03,&lt RL,0.07,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.19,0,0.34,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Nitrogen, ammonia (NH3)",mg/L-N,2025,14,0.51,0.18,1.62,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,1.17,0.81,1.42,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.1,&lt RL,0.36,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.12,0.02,0.23,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,0.23,0.23,0.23,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,1,1.32,1.32,1.32,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,2.73,2.06,3.3,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,1.41,0.76,2.11,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.44,0.14,0.74,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,"Nitrogen, ammonia (NH3)",mg/L-N,2025,4,0.08,&lt RL,0.21,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2025,3,0.88,0.79,1.01,North Branch Chicago River,-9762427.895694703,5155720.021993471
139th Street,129,Midlothian Creek at 139th Street,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.07,0.02,0.13,Midlothian Creek,-9762565.693509998,5107888.2094410425
Albany Avenue,96,North Branch Chicago River at Albany Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.09,&lt RL,0.53,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.23,&lt RL,0.63,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.21,0.01,0.93,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.11,&lt RL,0.2,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.04,&lt RL,0.12,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.07,&lt RL,0.19,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.51,0.05,3,Grand Calumet River,-9744810.951107476,5105915.20396417
Chatham Road,130,Midlothian Creek at Chatham Road,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.09,0.01,0.19,Midlothian Creek,-9759961.818484122,5107888.209656332
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.32,&lt RL,0.98,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.23,&lt RL,0.49,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.15,&lt RL,1.06,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.25,&lt RL,1.76,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.79,0.12,3.18,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.08,&lt RL,0.35,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,"Nitrogen, ammonia (NH3)",mg/L-N,2024,18,0.18,0.03,0.48,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.4,&lt RL,1.23,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,"Nitrogen, ammonia (NH3)",mg/L-N,2024,10,0.04,&lt RL,0.11,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.12,&lt RL,0.3,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.3,&lt RL,1.91,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Nitrogen, ammonia (NH3)",mg/L-N,2024,53,0.55,0.03,3.69,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.55,&lt RL,1.95,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,"Nitrogen, ammonia (NH3)",mg/L-N,2024,12,0.03,&lt RL,0.52,Des Plaines River,-9803757.593335949,5100729.017568359
