Station Number,Station Name,Station Description,Parameter Description,Units of Measure,Result Count,Year,Result Average,Result Min,Result Max,Waterway,x,y
129,139th Street,Midlothian Creek at 139th Street,"Phosphorous, total",mg/L,2,2025,0.05,0.05,0.06,Midlothian Creek,-9762565.693509998,5107888.2094410425
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,3,2025,0.2,0.11,0.27,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,1,2025,0.62,0.62,0.62,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,4,2025,1.65,1.1,2.24,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,2,2025,0.56,0.27,0.86,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,4,2025,0.17,0.11,0.21,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,4,2025,0.9,0.46,1.32,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,3,2025,0.14,0.04,0.32,Grand Calumet River,-9744810.951107476,5105915.20396417
130,Chatham Road,Midlothian Creek at Chatham Road,"Phosphorous, total",mg/L,2,2025,0.06,0.05,0.08,Midlothian Creek,-9759961.818484122,5107888.209656332
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,3,2025,1.08,0.67,1.48,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,3,2025,0.33,0.26,0.41,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,1,2025,0.11,0.11,0.11,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,4,2025,1.42,0.82,2.14,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,3,2025,1.15,0.65,1.49,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,4,2025,0.04,0.02,0.06,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,1,2025,0.31,0.31,0.31,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,1,2025,0.28,0.28,0.28,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,2,2025,0.04,0.04,0.04,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,2,2025,0.08,0.06,0.1,Little Calumet River,-9753472.181457821,5108772.571885121
127,Lincoln Street,Weller Creek at Lincoln Street,"Phosphorous, total",mg/L,4,2025,0.11,0.03,0.23,Weller Creek,-9791310.180190712,5169842.130070917
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,14,2025,0.58,0.35,1.05,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,3,2025,1.34,1,1.59,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,4,2025,0.34,0.28,0.42,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,4,2025,0.41,0.28,0.58,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,1,2025,0.31,0.31,0.31,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,1,2025,1.85,1.85,1.85,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,3,2025,1.56,1.19,1.89,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,3,2025,1.11,0.72,1.42,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,4,2025,0.23,0.19,0.29,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,4,2025,0.35,0.23,0.52,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,3,2025,1.12,0.7,1.44,North Branch Chicago River,-9762427.895694703,5155720.021993471
129,139th Street,Midlothian Creek at 139th Street,"Phosphorous, total",mg/L,12,2024,0.04,&lt RL,0.16,Midlothian Creek,-9762565.693509998,5107888.2094410425
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2024,0.19,0.12,0.28,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,12,2024,0.5,0.22,0.88,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2024,2.18,0.72,3.65,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,12,2024,0.52,0.23,0.96,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2024,0.21,0.08,0.41,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,12,2024,1.4,0.48,2.63,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,12,2024,0.22,0.06,0.64,Grand Calumet River,-9744810.951107476,5105915.20396417
130,Chatham Road,Midlothian Creek at Chatham Road,"Phosphorous, total",mg/L,12,2024,0.08,&lt RL,0.25,Midlothian Creek,-9759961.818484122,5107888.209656332
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,12,2024,0.65,0.3,2.47,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2024,0.58,0.29,0.88,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,12,2024,0.08,&lt RL,0.42,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2024,2.48,0.35,5.34,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2024,0.93,0.42,1.58,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,12,2024,0.06,&lt RL,0.12,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,18,2024,0.78,0.25,2.19,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2024,0.56,0.24,1.26,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,10,2024,0.03,&lt RL,0.09,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,12,2024,0.11,&lt RL,0.55,Little Calumet River,-9753472.181457821,5108772.571885121
127,Lincoln Street,Weller Creek at Lincoln Street,"Phosphorous, total",mg/L,12,2024,0.09,&lt RL,0.23,Weller Creek,-9791310.180190712,5169842.130070917
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,53,2024,0.56,0.22,2.05,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2024,0.78,0.27,1.59,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2024,0.36,0.26,0.53,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2024,0.53,0.24,0.97,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,12,2024,0.55,0.21,1.7,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,12,2024,0.33,0.03,2.22,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2024,0.57,0.22,0.97,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2024,1.41,0.49,2.15,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2024,0.31,&lt RL,0.87,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2024,0.27,0.1,0.8,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,12,2024,0.46,0.22,0.8,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2024,0.97,0.41,1.65,North Branch Chicago River,-9762427.895694703,5155720.021993471
129,139th Street,Midlothian Creek at 139th Street,"Phosphorous, total",mg/L,12,2023,0.09,&lt RL,0.31,Midlothian Creek,-9762565.693509998,5107888.2094410425
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2023,0.2,0.07,0.29,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,12,2023,0.6,0.21,0.98,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2023,2.4,0.57,4.3,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,12,2023,0.82,0.35,1.6,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2023,0.26,0.14,0.4,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,6,2023,1.35,0.69,2.18,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,12,2023,0.15,&lt RL,0.6,Grand Calumet River,-9744810.951107476,5105915.20396417
130,Chatham Road,Midlothian Creek at Chatham Road,"Phosphorous, total",mg/L,12,2023,0.08,&lt RL,0.26,Midlothian Creek,-9759961.818484122,5107888.209656332
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2023,0.77,0.31,1.61,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
