Station Number,Station Name,Station Description,Parameter Name,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
100,Wells Street,Chicago River at Wells Street,SO4   ,Sulfate,mg/L,2001,7,36,17,60,Chicago River,-9755339.676982595,5144145.544547021
101,Foster Avenue,North Shore Channel at Foster Avenue,SO4   ,Sulfate,mg/L,2001,11,47,32,63,North Shore Channel,-9763248.504184216,5157380.484896455
102,Oakton Street,North Shore Channel at Oakton Street,SO4   ,Sulfate,mg/L,2001,11,27,20,50,North Shore Channel,-9763838.713194087,5164984.791142569
103,Golf Road,West Fork North Branch Chicago River at Golf Road,SO4   ,Sulfate,mg/L,2001,11,61,46,89,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
104,Glenview Road,North Branch Chicago River at Glenview Road,SO4   ,Sulfate,mg/L,2001,11,63,48,91,North Branch Chicago River,-9770990.71844705,5171319.185344051
105,Frontage Road,Skokie River at Frontage Road,SO4   ,Sulfate,mg/L,2001,11,61,44,89,Skokie River,-9769467.187323028,5174142.560835846
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,SO4   ,Sulfate,mg/L,2001,6,64,50,77,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
108,Loomis Street,South Branch Chicago River at Loomis Street,SO4   ,Sulfate,mg/L,2001,9,44,32,74,South Branch Chicago River,-9758326.630046986,5137947.951214144
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,SO4   ,Sulfate,mg/L,2001,9,92,71,117,Buffalo Creek,-9792683.493154097,5183751.728609537
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,SO4   ,Sulfate,mg/L,2001,10,76,48,92,Des Plaines River,-9786103.272410415,5183885.200209065
17,Oakton Street,Des Plaines River at Oakton Street,SO4   ,Sulfate,mg/L,2001,10,85,49,151,Des Plaines River,-9782189.77125312,5164756.208222484
18,Devon Avenue,Salt Creek at Devon Avenue,SO4   ,Sulfate,mg/L,2001,11,81,65,92,Salt Creek,-9795587.075606022,5159923.790866642
19,Belmont Avenue,Des Plaines River at Belmont Avenue,SO4   ,Sulfate,mg/L,2001,11,79,52,97,Des Plaines River,-9779371.53102385,5151588.097147647
20,Roosevelt Road,Des Plaines River at Roosevelt Road,SO4   ,Sulfate,mg/L,2001,11,80,52,117,Des Plaines River,-9776892.815460142,5140724.864266957
22,Ogden Avenue,Des Plaines River at Ogden Avenue,SO4   ,Sulfate,mg/L,2001,13,126,64,286,Des Plaines River,-9775033.160497827,5134155.08934849
23,Willow Springs Road,Des Plaines River at Willow Springs Road,SO4   ,Sulfate,mg/L,2001,11,83,63,97,Des Plaines River,-9782918.22214516,5121485.94585754
24,Wolf Road,Salt Creek at Wolf Road,SO4   ,Sulfate,mg/L,2001,11,97,72,117,Salt Creek,-9785016.345950183,5134927.534095098
29,Stephen Street,Des Plaines River at Stephen Street,SO4   ,Sulfate,mg/L,2001,11,81,63,100,Des Plaines River,-9796385.089554068,5113414.579669373
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,SO4   ,Sulfate,mg/L,2001,11,70,60,83,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
32,Lake-Cook Road,Skokie River at Lake-Cook Road,SO4   ,Sulfate,mg/L,2001,11,67,35,103,Skokie River,-9773171.65434657,5183881.030230567
34,Dempster Street,North Branch Chicago River at Dempster Street,SO4   ,Sulfate,mg/L,2001,11,60,38,92,North Branch Chicago River,-9772519.197048591,5167261.607014383
35,Central Street,North Shore Channel at Central Street,SO4   ,Sulfate,mg/L,2001,10,25,17,41,North Shore Channel,-9761286.946422856,5170628.6171330195
36,Touhy Avenue,North Shore Channel at Touhy Avenue,SO4   ,Sulfate,mg/L,2001,12,100,33,372,North Shore Channel,-9763880.193364626,5162772.158302309
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,SO4   ,Sulfate,mg/L,2001,11,52,30,68,North Branch Chicago River,-9762427.895694703,5155720.021993471
39,Madison Street,South Branch Chicago River at Madison Street,SO4   ,Sulfate,mg/L,2001,10,43,28,63,South Branch Chicago River,-9755836.894673718,5143332.001117509
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,SO4   ,Sulfate,mg/L,2001,10,60,44,79,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,SO4   ,Sulfate,mg/L,2001,10,64,39,81,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,SO4   ,Sulfate,mg/L,2001,11,111,62,167,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
46,Grand Avenue,North Branch Chicago River at Grand Avenue,SO4   ,Sulfate,mg/L,2001,11,54,37,66,North Branch Chicago River,-9756156.248665709,5144758.297382973
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,SO4   ,Sulfate,mg/L,2001,10,86,52,115,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
49,Ewing Avenue,Calumet River at Ewing Avenue,SO4   ,Sulfate,mg/L,2001,10,29,16,44,Calumet River,-9745075.86152176,5120263.120285954
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,SO4   ,Sulfate,mg/L,2001,9,40,26,83,Wolf Lake Drain,-9744778.986089032,5110875.941051556
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,SO4   ,Sulfate,mg/L,2001,10,121,70,166,Little Calumet River,-9743762.861862704,5099049.677060608
54,Joe Orr Road,Thorn Creek at Joe Orr Road,SO4   ,Sulfate,mg/L,2001,10,509,265,666,Thorn Creek,-9754419.852949658,5089457.720876058
