Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
139th Street,129,Midlothian Creek at 139th Street,Suspended Solids,mg/L,2025,2,12,11,13,Midlothian Creek,-9762565.693509998,5107888.2094410425
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2025,3,7,4,9,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2025,1,16,16,16,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2025,4,20,9,34,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2025,2,15,9,21,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2025,4,18,5,33,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2025,4,16,2,44,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2025,3,3,2,6,Grand Calumet River,-9744810.951107476,5105915.20396417
Chatham Road,130,Midlothian Creek at Chatham Road,Suspended Solids,mg/L,2025,2,11,8,13,Midlothian Creek,-9759961.818484122,5107888.209656332
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2025,3,4,3,6,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2025,3,9,4,17,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2025,1,7,7,7,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2025,4,11,5,24,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2025,3,5,3,6,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2025,4,10,7,16,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2025,1,5,5,5,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2025,1,3,3,3,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2025,2,19,11,26,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2025,2,11,8,14,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,Suspended Solids,mg/L,2025,4,68,4,166,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2025,14,8,2,21,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
