stationname,waterbody,date,do_min,do_max,do_avg,x,y
Linden Street,North Shore Channel,"八月 18, 1998",7.766228,8.011704,7.87729933,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 19, 1998",7.452062,8.261467,7.81158545,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 20, 1998",7.356347,8.343491,7.82378783,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 21, 1998",6.919086,8.507775,7.64182358,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 22, 1998",4.573371,7.930752,6.72110916,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 23, 1998",1.699205,8.466348,5.8495617,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 24, 1998",1.961943,7.2148,5.72884741,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"八月 25, 1998",0.3,4.92,1.27816286,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 1, 1998",7.955839,8.634381,8.36188828,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 2, 1998",6.428391,8.682402,7.77414679,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 3, 1998",6.321517,7.984954,7.15789666,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 4, 1998",6.974798,8.751361,7.78498016,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 5, 1998",7.216465,8.850111,7.96623016,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 6, 1998",7.16959,8.671205,7.91373025,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 7, 1998",1.934329,6.849954,4.94789691,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 8, 1998",3.501256,8.252492,6.67436966,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 9, 1998",7.126398,8.541711,7.78246566,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 10, 1998",7.335617,8.540773,7.87621554,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 11, 1998",7.394367,9.018742,7.98996579,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 12, 1998",7.483117,9.167961,8.254966,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 13, 1998",7.096711,8.977024,7.96586852,-9761172.894073607,5172041.593373926
